flash_id,time,lma_base,arq_ka,print_date,dist_1,dist_itp,area,duration,init_alt,init_lat,init_lon,volume,spectrum_width,turbulence,dVRdr,dVRde,mean,weighted_mean,weighted_std,std,vel_dealias
16615,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,9493.47309906416,28.1562538828512,140.14517,1.2313081,5112.74,33.638546,-101.93788,581.1818,1.7636719,0.41172883,-0.033858266,-0.005234662,"[9.390964880375272, 0.381281316280365]","[9.458306330809323, 0.4012850417649389]","[0.0630944090202904, 0.01874214513525064]","[0.10249989083404731, 0.03044751286506653]",5.485039
19134,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,2738.93827297508,54.9564373036028,15.910487,0.5830693,11319.54,33.734245,-101.90082,57.1931,3.6785157,0.8482621,-0.04740157,0.013828833,"[2.772484578598716, 0.6102134138345718]","[2.7695066081375996, 0.6313587428021986]","[0.02726502369747344, 0.1935975869878794]","[0.03352522309997297, 0.23804865777492523]",-0.6094488
19761,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,189.515114180529,47.0805812825456,0,0.00013223899,14601.66,33.73057,-101.926865,0,1.0582031,0.23344612,0.020314949,0.11419333,"[0.18954933198952761, 0.2334461212158203]","[0.18954933198952761, 0.2334461212158203]","[nan, nan]","[0.0, 0.0]",-9.751181
20478,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,3265.02224463536,95.6990830186733,16.21639,0.54861236,11559.92,33.72949,-101.890564,63.68234,1.1589844,0.26514903,-0.00677166,0.015249216,"[3.2650172392170003, 0.2651490271091461]","[3.2650172392170007, 0.2651490271091461]","[inf, nan]","[0.0, 0.0]",5.07874
20577,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,2178.49792235322,3.27578179093507,5.2043653,0.44225168,11690.93,33.68484,-101.88431,11.1475725,1.209375,0.2554166,333.52347,0,0,0,0,0,6.703937
20835,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,6242.16197124456,1.4486191422493,28.477448,0.57558584,11641.03,33.699028,-101.901794,131.55908,1.3101562,0.31360805,-0.020314964,-0.016531026,"[5.396085299111602, 0.40489811450242996]","[5.5334401871095, 0.41918948578123705]","[0.28593616882501477, 0.07360503329763673]","[0.5473648951418834, 0.12687500198474785]",5.688189
21786,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,915.586898613564,48.2601155948069,6.116886,0.27877682,12979.41,33.69442,-101.89389,9.6489105,1.209375,0.2567853,0.020314932,-0.11627035,0,0,0,0,-7.922835
25875,224838,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka1150706224838.RAW581W.nc,06 July 2015,1238.65566419115,5.37731955719119,21.392036,0.40419722,6607.24,33.623608,-101.90495,77.97603,2.2675781,0.5226041,0.042322833,-0.06569723,"[2.557100263783953, 0.20666279898335535]","[2.2595540872428033, 0.2568783386021573]","[0.33857370988648994, 0.04678945617835058]","[1.3719387826050173, 0.17726023369977478]",-2.031496
27137,224838,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka1150706224838.RAW581W.nc,06 July 2015,7522.80753507759,4.61676396057192,43.663548,1.3776048,15288.51,33.659775,-101.92122,217.457,0.85664064,0.18406409,-0.008464568,-0.0037456257,"[7.545196588560246, 0.11401408445090055]","[7.883793985284056, 0.12716442548286078]","[0.40867719877218467, 0.03434364652601029]","[0.9328811102465961, 0.09601884579498966]",2.9456692
28138,224838,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka1150706224838.RAW581W.nc,06 July 2015,3260.78429459675,49.046982472838,117.23627,0.89791816,6058.23,33.659737,-101.90893,418.63733,2.2171874,0.5145478,-0.01692913,-0.014327571,"[3.2626969649930446, 0.2704936357215047]","[3.259127338397355, 0.3665895559551248]","[0.04507664117145235, 0.11358741704697893]","[0.12176497618141392, 0.24856683410030156]",3.5551178
